uei,start_date,end_date,duration_days,latitude,longitude,state,district,severity,area_affected_sqkm,main_cause,description,event_source
FLOOD-IND-0152,2020-06-21,2020-07-14,23,16.956677,78.839148,Andhra Pradesh,,Moderate,85.5,River Overflow,Water logging and flooding in Andhra Pradesh due to river overflow,News Reports
FLOOD-IND-0153,2024-09-25,2024-09-26,1,25.090609,85.4172,Jharkhand,,High,315.74,River Overflow,Water logging and flooding in Jharkhand due to river overflow,Sentinel-1 SAR
FLOOD-IND-0154,2022-08-07,2022-08-16,9,24.330804,86.105501,Bihar,,Catastrophic,3000.96,River Overflow,Flood situation in Bihar affecting multiple areas,MODIS
FLOOD-IND-0155,2021-08-06,2021-08-10,4,25.45309,81.776603,Madhya Pradesh,,Moderate,135.41,River Overflow,Flood situation in Madhya Pradesh affecting multiple areas,Ground Reports
FLOOD-IND-0156,2021-03-19,2021-03-31,12,12.793538,75.230857,Kerala,,High,233.95,Cyclone,Severe flooding reported in Kerala region,News Reports
FLOOD-IND-0157,2023-02-23,2023-03-13,18,23.845251,76.103701,Rajasthan,,High,340.29,River Overflow,Flood event in Rajasthan caused by river overflow,Sentinel-2 Optical
FLOOD-IND-0158,2022-10-28,2022-11-19,22,23.31762,84.089615,Chhattisgarh,,Catastrophic,2663.03,Prolonged Rainfall,Water logging and flooding in Chhattisgarh due to prolonged rainfall,News Reports
FLOOD-IND-0159,2023-03-08,2023-03-18,10,19.421473,76.968643,Maharashtra,,Severe,559.44,River Overflow,Water logging and flooding in Maharashtra due to river overflow,Sentinel-2 Optical
FLOOD-IND-0160,2022-01-19,2022-02-01,13,25.095058,87.037283,Jharkhand,,Catastrophic,4693.49,Coastal Storm Surge,Severe flooding reported in Jharkhand region,News Reports
FLOOD-IND-0161,2020-03-12,2020-03-24,12,15.406329,77.311934,Andhra Pradesh,,High,397.71,Urban Flooding,Emergency declared in Andhra Pradesh due to flooding,Ground Reports
FLOOD-IND-0162,2022-01-08,2022-01-28,20,8.922191,74.830874,Kerala,,Moderate,103.86,River Overflow,Flood event in Kerala caused by river overflow,Ground Reports
FLOOD-IND-0163,2022-02-16,2022-03-09,21,30.044739,76.055617,Haryana,,Moderate,90.35,Flash Flood,Severe flooding reported in Haryana region,Ground Reports
FLOOD-IND-0164,2022-07-22,2022-07-26,4,26.934207,75.597419,Rajasthan,,Moderate,81.26,Heavy Monsoon Rainfall,Water logging and flooding in Rajasthan due to heavy monsoon rainfall,Landsat-8
FLOOD-IND-0165,2020-08-04,2020-08-28,24,11.792694,75.890797,Karnataka,,Moderate,137.54,River Overflow,Flood event in Karnataka caused by river overflow,Landsat-8
FLOOD-IND-0166,2020-10-24,2020-11-04,11,20.754974,71.182113,Gujarat,,High,475.53,River Overflow,Flood event in Gujarat caused by river overflow,Sentinel-1 SAR
FLOOD-IND-0167,2020-07-20,2020-08-18,29,31.040739,80.489408,Uttarakhand,,High,482.04,Heavy Monsoon Rainfall,Flood event in Uttarakhand caused by heavy monsoon rainfall,Sentinel-1 SAR
FLOOD-IND-0168,2023-01-20,2023-01-30,10,27.252676,70.365694,Rajasthan,,Moderate,73.79,Cyclone,Water logging and flooding in Rajasthan due to cyclone,MODIS
FLOOD-IND-0169,2020-12-07,2021-01-04,28,24.957078,89.69382,West Bengal,,Moderate,94.18,Coastal Storm Surge,Flood situation in West Bengal affecting multiple areas,News Reports
FLOOD-IND-0170,2022-09-23,2022-10-21,28,25.178091,95.230664,Assam,,High,355.09,Heavy Monsoon Rainfall,Flood event in Assam caused by heavy monsoon rainfall,Sentinel-2 Optical
FLOOD-IND-0171,2020-11-26,2020-12-09,13,25.273249,87.199312,Jharkhand,,Catastrophic,4696.82,Urban Flooding,Flood event in Jharkhand caused by urban flooding,Landsat-8
FLOOD-IND-0172,2024-07-15,2024-07-22,7,21.016088,68.752061,Gujarat,,Catastrophic,3362.43,River Overflow,Emergency declared in Gujarat due to flooding,Sentinel-1 SAR
FLOOD-IND-0173,2020-12-19,2020-12-22,3,15.782432,81.849228,Andhra Pradesh,,Catastrophic,3154.07,River Overflow,Water logging and flooding in Andhra Pradesh due to river overflow,News Reports
FLOOD-IND-0174,2024-09-15,2024-10-10,25,19.949623,81.336932,Chhattisgarh,,Severe,858.74,Flash Flood,Water logging and flooding in Chhattisgarh due to flash flood,Sentinel-2 Optical
FLOOD-IND-0175,2022-09-16,2022-09-28,12,24.118193,95.046952,Assam,,High,358.02,Coastal Storm Surge,Flood event in Assam caused by coastal storm surge,News Reports
FLOOD-IND-0176,2020-01-31,2020-02-24,24,17.389623,82.688286,Andhra Pradesh,,Moderate,141.65,Prolonged Rainfall,Flood situation in Andhra Pradesh affecting multiple areas,MODIS
FLOOD-IND-0177,2020-03-08,2020-04-03,26,19.022458,76.834672,Maharashtra,,Low,38.51,Cloud Burst,Emergency declared in Maharashtra due to flooding,News Reports
FLOOD-IND-0178,2021-04-17,2021-04-21,4,24.541773,87.232843,West Bengal,,Moderate,171.71,Heavy Monsoon Rainfall,Flood event in West Bengal caused by heavy monsoon rainfall,Sentinel-2 Optical
FLOOD-IND-0179,2023-02-08,2023-02-21,13,24.286384,88.480426,West Bengal,,Severe,1336.43,Heavy Monsoon Rainfall,Emergency declared in West Bengal due to flooding,MODIS
FLOOD-IND-0180,2024-08-25,2024-09-08,14,23.842485,86.171405,West Bengal,,Severe,616.08,Heavy Monsoon Rainfall,Flood event in West Bengal caused by heavy monsoon rainfall,Sentinel-2 Optical
FLOOD-IND-0181,2021-08-21,2021-09-14,24,23.341051,83.765407,Jharkhand,,Catastrophic,3363.73,Heavy Monsoon Rainfall,Severe flooding reported in Jharkhand region,Landsat-8
FLOOD-IND-0182,2023-06-23,2023-07-02,9,29.74487,79.527729,Uttarakhand,,Moderate,157.64,Heavy Monsoon Rainfall,Emergency declared in Uttarakhand due to flooding,Landsat-8
FLOOD-IND-0183,2023-05-06,2023-06-05,30,30.71859,78.43308,Himachal Pradesh,,Severe,979.79,Glacial Lake Outburst,Flood situation in Himachal Pradesh affecting multiple areas,Ground Reports
FLOOD-IND-0184,2020-11-25,2020-12-10,15,31.274272,80.926561,Uttarakhand,,Moderate,153.42,Heavy Monsoon Rainfall,Water logging and flooding in Uttarakhand due to heavy monsoon rainfall,MODIS
FLOOD-IND-0185,2023-06-03,2023-06-23,20,23.527488,83.871624,Chhattisgarh,,Low,5.12,Heavy Monsoon Rainfall,Water logging and flooding in Chhattisgarh due to heavy monsoon rainfall,Sentinel-1 SAR
FLOOD-IND-0186,2020-07-12,2020-08-11,30,25.016037,83.302515,Bihar,,Low,1.68,Cloud Burst,Flood situation in Bihar affecting multiple areas,Sentinel-2 Optical
FLOOD-IND-0187,2021-07-12,2021-07-18,6,9.873044,77.454493,Tamil Nadu,,Moderate,55.9,Prolonged Rainfall,Flood event in Tamil Nadu caused by prolonged rainfall,Landsat-8
FLOOD-IND-0188,2024-08-30,2024-09-01,2,16.304975,79.552866,Andhra Pradesh,,Moderate,192.91,River Overflow,Emergency declared in Andhra Pradesh due to flooding,Ground Reports
FLOOD-IND-0189,2021-05-08,2021-05-10,2,28.607394,74.802732,Haryana,,High,233.8,Heavy Monsoon Rainfall,Severe flooding reported in Haryana region,Sentinel-2 Optical
FLOOD-IND-0190,2023-12-14,2023-12-18,4,29.861642,80.792921,Uttarakhand,,High,417.94,Dam Release,Emergency declared in Uttarakhand due to flooding,MODIS
FLOOD-IND-0191,2023-10-10,2023-10-28,18,29.440887,84.035802,Uttar Pradesh,,Severe,932.33,River Overflow,Flood situation in Uttar Pradesh affecting multiple areas,News Reports
FLOOD-IND-0192,2023-09-05,2023-09-17,12,13.99191,75.54048,Karnataka,,Moderate,79.64,Urban Flooding,Water logging and flooding in Karnataka due to urban flooding,MODIS
FLOOD-IND-0193,2022-06-23,2022-07-22,29,22.988135,87.019882,West Bengal,,Low,2.28,Heavy Monsoon Rainfall,Water logging and flooding in West Bengal due to heavy monsoon rainfall,News Reports
FLOOD-IND-0194,2024-01-19,2024-02-12,24,20.781675,74.707714,Maharashtra,,High,473.93,Cloud Burst,Emergency declared in Maharashtra due to flooding,Ground Reports
FLOOD-IND-0195,2023-06-26,2023-07-12,16,29.225554,75.326632,Haryana,,High,316.43,Urban Flooding,Flood situation in Haryana affecting multiple areas,Sentinel-2 Optical
FLOOD-IND-0196,2022-04-03,2022-05-02,29,30.722261,78.559987,Uttarakhand,,Low,26.37,Heavy Monsoon Rainfall,Emergency declared in Uttarakhand due to flooding,Ground Reports
FLOOD-IND-0197,2023-01-02,2023-01-11,9,24.070778,84.152118,Chhattisgarh,,Moderate,183.53,Prolonged Rainfall,Emergency declared in Chhattisgarh due to flooding,Sentinel-1 SAR
FLOOD-IND-0198,2024-07-03,2024-07-14,11,25.679168,87.832494,Bihar,,Moderate,148.6,Heavy Monsoon Rainfall,Flood situation in Bihar affecting multiple areas,Landsat-8
FLOOD-IND-0199,2020-01-06,2020-01-08,2,28.514271,77.227084,Uttar Pradesh,,Moderate,115.72,Urban Flooding,Severe flooding reported in Uttar Pradesh region,News Reports
FLOOD-IND-0200,2022-03-06,2022-03-09,3,26.771256,75.073446,Madhya Pradesh,,Low,43.15,Prolonged Rainfall,Flood situation in Madhya Pradesh affecting multiple areas,Ground Reports
FLOOD-IND-0201,2020-02-02,2020-02-18,16,31.448215,79.030977,Uttarakhand,,Moderate,147.31,Heavy Monsoon Rainfall,Emergency declared in Uttarakhand due to flooding,News Reports
FLOOD-IND-0202,2022-12-03,2022-12-08,5,23.475135,83.655189,Jharkhand,,High,207.83,Cyclone,Flood event in Jharkhand caused by cyclone,Landsat-8
FLOOD-IND-0203,2022-06-05,2022-07-04,29,10.405384,76.875185,Kerala,,Low,21.44,Coastal Storm Surge,Severe flooding reported in Kerala region,Ground Reports
FLOOD-IND-0204,2020-10-17,2020-10-20,3,23.226888,77.226645,Rajasthan,,Low,6.24,Flash Flood,Flood event in Rajasthan caused by flash flood,Sentinel-1 SAR
FLOOD-IND-0205,2024-11-23,2024-11-25,2,26.589059,80.564908,Madhya Pradesh,,Catastrophic,3865.07,Heavy Monsoon Rainfall,Severe flooding reported in Madhya Pradesh region,Sentinel-2 Optical
FLOOD-IND-0206,2022-01-11,2022-01-29,18,26.358205,78.286604,Rajasthan,,High,303.46,Heavy Monsoon Rainfall,Severe flooding reported in Rajasthan region,Ground Reports
FLOOD-IND-0207,2021-09-24,2021-10-15,21,18.03793,82.686407,Chhattisgarh,,Low,44.41,Cloud Burst,Emergency declared in Chhattisgarh due to flooding,News Reports
FLOOD-IND-0208,2022-07-26,2022-08-10,15,21.439134,80.745235,Chhattisgarh,,High,391.58,River Overflow,Flood event in Chhattisgarh caused by river overflow,Ground Reports
FLOOD-IND-0209,2023-12-04,2023-12-10,6,28.32912,69.775959,Rajasthan,,High,222.52,Cyclone,Flood situation in Rajasthan affecting multiple areas,News Reports
FLOOD-IND-0210,2024-03-28,2024-04-24,27,25.946702,70.961776,Rajasthan,,Severe,1295.5,River Overflow,Flood situation in Rajasthan affecting multiple areas,Landsat-8
FLOOD-IND-0211,2020-03-27,2020-04-03,7,26.321032,95.663104,Assam,,Moderate,81.94,Heavy Monsoon Rainfall,Emergency declared in Assam due to flooding,Sentinel-1 SAR
FLOOD-IND-0212,2020-11-25,2020-12-22,27,25.641679,88.50317,West Bengal,,Low,29.52,Heavy Monsoon Rainfall,Flood event in West Bengal caused by heavy monsoon rainfall,Landsat-8
FLOOD-IND-0213,2021-04-13,2021-05-04,21,12.57033,78.466262,Karnataka,,Moderate,65.02,River Overflow,Flood event in Karnataka caused by river overflow,Sentinel-2 Optical
FLOOD-IND-0214,2021-04-28,2021-05-01,3,24.241035,70.859845,Gujarat,,Low,3.52,Heavy Monsoon Rainfall,Flood situation in Gujarat affecting multiple areas,Sentinel-2 Optical
FLOOD-IND-0215,2024-08-11,2024-08-13,2,11.973348,76.966585,Kerala,,High,485.7,River Overflow,Severe flooding reported in Kerala region,Sentinel-2 Optical
FLOOD-IND-0216,2023-08-16,2023-08-27,11,26.545555,86.443269,Bihar,,Moderate,181.15,Dam Release,Flood event in Bihar caused by dam release,Ground Reports
FLOOD-IND-0217,2023-09-08,2023-09-10,2,9.332969,76.956282,Kerala,,Severe,1423.22,Glacial Lake Outburst,Emergency declared in Kerala due to flooding,Ground Reports
FLOOD-IND-0218,2024-03-02,2024-03-27,25,22.515896,86.189177,Jharkhand,,High,247.76,River Overflow,Severe flooding reported in Jharkhand region,Sentinel-2 Optical
FLOOD-IND-0219,2023-10-21,2023-11-01,11,15.866563,74.991746,Karnataka,,Catastrophic,3807.1,Dam Release,Severe flooding reported in Karnataka region,Ground Reports
FLOOD-IND-0220,2022-03-18,2022-03-21,3,25.771844,75.167883,Madhya Pradesh,,High,333.37,Heavy Monsoon Rainfall,Emergency declared in Madhya Pradesh due to flooding,Sentinel-1 SAR
FLOOD-IND-0221,2021-04-05,2021-05-02,27,8.20666,75.048795,Kerala,,Severe,982.67,Heavy Monsoon Rainfall,Water logging and flooding in Kerala due to heavy monsoon rainfall,Sentinel-2 Optical
FLOOD-IND-0222,2020-02-20,2020-03-08,17,25.090868,84.888441,Jharkhand,,High,249.47,Cloud Burst,Water logging and flooding in Jharkhand due to cloud burst,MODIS
FLOOD-IND-0223,2022-01-17,2022-01-20,3,27.380049,85.695574,Bihar,,Moderate,145.32,Cyclone,Water logging and flooding in Bihar due to cyclone,Ground Reports
FLOOD-IND-0224,2021-04-09,2021-04-26,17,27.670324,79.230925,Uttar Pradesh,,High,365.8,River Overflow,Flood situation in Uttar Pradesh affecting multiple areas,Sentinel-1 SAR
FLOOD-IND-0225,2024-03-15,2024-04-05,21,20.931188,71.124426,Gujarat,,Low,29.97,Heavy Monsoon Rainfall,Severe flooding reported in Gujarat region,Landsat-8
FLOOD-IND-0226,2020-01-19,2020-02-17,29,18.203789,84.066222,Odisha,,Severe,1139.44,Heavy Monsoon Rainfall,Flood situation in Odisha affecting multiple areas,Landsat-8
FLOOD-IND-0227,2024-04-13,2024-04-14,1,30.448157,78.441223,Uttarakhand,,Moderate,190.8,Heavy Monsoon Rainfall,Emergency declared in Uttarakhand due to flooding,News Reports
FLOOD-IND-0228,2020-02-28,2020-03-06,7,24.541563,79.195343,Madhya Pradesh,,Moderate,99.96,Heavy Monsoon Rainfall,Flood situation in Madhya Pradesh affecting multiple areas,Landsat-8
FLOOD-IND-0229,2020-10-09,2020-11-05,27,29.011299,80.843291,Uttarakhand,,High,405.56,Prolonged Rainfall,Flood event in Uttarakhand caused by prolonged rainfall,Sentinel-1 SAR
FLOOD-IND-0230,2021-02-10,2021-02-27,17,21.42508,78.463681,Maharashtra,,High,244.14,Cloud Burst,Emergency declared in Maharashtra due to flooding,MODIS
FLOOD-IND-0231,2020-01-14,2020-02-01,18,16.894872,74.887393,Maharashtra,,Moderate,127.32,Coastal Storm Surge,Flood situation in Maharashtra affecting multiple areas,Landsat-8
FLOOD-IND-0232,2021-08-19,2021-08-21,2,15.971032,80.35761,Andhra Pradesh,,Low,16.27,Dam Release,Water logging and flooding in Andhra Pradesh due to dam release,Sentinel-1 SAR
FLOOD-IND-0233,2022-05-11,2022-06-10,30,30.872892,75.592842,Punjab,,Low,42.63,Dam Release,Water logging and flooding in Punjab due to dam release,Landsat-8
FLOOD-IND-0234,2024-06-18,2024-07-04,16,23.108568,83.537944,Jharkhand,,High,280.11,Coastal Storm Surge,Severe flooding reported in Jharkhand region,News Reports
FLOOD-IND-0235,2023-02-21,2023-03-11,18,26.721226,88.336172,West Bengal,,Moderate,54.3,Dam Release,Emergency declared in West Bengal due to flooding,MODIS
FLOOD-IND-0236,2022-04-07,2022-04-19,12,24.086049,87.728431,Jharkhand,,Low,26.26,Coastal Storm Surge,Flood situation in Jharkhand affecting multiple areas,Sentinel-2 Optical
FLOOD-IND-0237,2022-12-06,2022-12-13,7,18.810084,76.47813,Maharashtra,,High,453.15,Urban Flooding,Flood event in Maharashtra caused by urban flooding,MODIS
FLOOD-IND-0238,2022-01-02,2022-01-03,1,26.803774,84.830394,Bihar,,Moderate,158.31,Dam Release,Flood event in Bihar caused by dam release,News Reports
FLOOD-IND-0239,2024-04-20,2024-05-14,24,25.530114,82.33038,Madhya Pradesh,,Moderate,63.9,River Overflow,Severe flooding reported in Madhya Pradesh region,Sentinel-2 Optical
FLOOD-IND-0240,2022-06-27,2022-07-09,12,26.618996,77.906578,Madhya Pradesh,,High,396.41,Heavy Monsoon Rainfall,Severe flooding reported in Madhya Pradesh region,News Reports
FLOOD-IND-0241,2023-07-24,2023-08-11,18,22.334222,72.285282,Gujarat,,Moderate,60.75,Urban Flooding,Water logging and flooding in Gujarat due to urban flooding,Landsat-8
FLOOD-IND-0242,2023-01-05,2023-01-21,16,15.923643,76.829181,Karnataka,,High,374.91,Dam Release,Severe flooding reported in Karnataka region,Sentinel-1 SAR
FLOOD-IND-0243,2024-10-09,2024-10-19,10,30.088573,73.666738,Rajasthan,,Catastrophic,4045.83,Coastal Storm Surge,Flood event in Rajasthan caused by coastal storm surge,Sentinel-1 SAR
FLOOD-IND-0244,2021-07-27,2021-08-16,20,13.131377,78.93078,Tamil Nadu,,High,412.39,Prolonged Rainfall,Flood event in Tamil Nadu caused by prolonged rainfall,MODIS
FLOOD-IND-0245,2020-04-28,2020-05-26,28,20.695662,84.388092,Odisha,,Severe,1448.52,Dam Release,Emergency declared in Odisha due to flooding,Sentinel-2 Optical
FLOOD-IND-0246,2020-08-27,2020-09-23,27,14.475918,83.79022,Andhra Pradesh,,Moderate,90.12,Cyclone,Water logging and flooding in Andhra Pradesh due to cyclone,Landsat-8
FLOOD-IND-0247,2020-05-04,2020-05-16,12,20.730968,71.079091,Gujarat,,Moderate,105.2,River Overflow,Flood situation in Gujarat affecting multiple areas,News Reports
FLOOD-IND-0248,2020-07-21,2020-08-03,13,23.908816,81.011908,Uttar Pradesh,,Low,19.98,Heavy Monsoon Rainfall,Severe flooding reported in Uttar Pradesh region,News Reports
FLOOD-IND-0249,2021-09-06,2021-09-20,14,28.406697,77.363904,Haryana,,Low,22.09,River Overflow,Flood event in Haryana caused by river overflow,Ground Reports
FLOOD-IND-0250,2020-05-04,2020-05-20,16,25.220971,88.794682,West Bengal,,High,429.63,Dam Release,Emergency declared in West Bengal due to flooding,MODIS
